Date,RA-DRL,PPO-log_return,PPO-dsr,PPO-mdd,Market Index,1/N Strategy,MVO
2022-08-01,1167555.7967057216,1153757.308784368,1137337.6414776698,1142303.2674257995,1085181.2178796884,1116931.8537497476,867845.2068263191
2022-08-02,1154760.5215910228,1145313.9298544556,1121849.9147225406,1124391.1095694068,1071872.9207906204,1102130.3324556877,860437.8705391133
2022-08-03,1175706.1673276017,1158092.6923196968,1138114.4661854529,1137228.8865438085,1085647.7879409345,1115429.874906294,840000.2375209539
2022-08-04,1173775.921878021,1159492.7469882972,1137291.4855391546,1130827.6855659974,1082812.954776566,1111305.4902139963,817183.3085857271
2022-08-05,1174182.1753571513,1162675.9414798117,1141131.3963434126,1133776.9566961322,1085348.9763116823,1113836.34857735,830700.2270664396
2022-08-08,1172999.7271018347,1164866.217520995,1140504.4428290885,1133664.0823513926,1086310.8085542843,1115194.5203620153,829456.8623705214
2022-08-09,1171650.130469586,1173373.370554579,1138413.0036332349,1130305.9206682576,1084387.531800433,1113291.7137940763,840270.4548116967
2022-08-10,1193198.5049237602,1195022.8615959187,1156722.7348234488,1148540.0692903511,1102092.1208336328,1132179.792039063,842487.3512901597
2022-08-11,1190797.6282209046,1206527.8099629486,1155262.6800749642,1149626.2583833528,1102990.7528657224,1136120.4952141067,863032.9943491424
2022-08-12,1207257.2035354006,1221059.5853542553,1170102.8346396042,1164122.9677525838,1117031.9268335428,1150852.7622652964,864276.74342243
2022-08-15,1214618.3943120332,1226791.9962234371,1176563.581541013,1167347.9534889685,1122040.8989370475,1155624.73446292,847839.9983488222
2022-08-16,1220503.016850737,1230409.5137355123,1182821.0665761307,1174907.2309651817,1129967.420226859,1163779.3863936947,845677.2029851133
2022-08-17,1215994.1810111434,1226286.4247059792,1176032.402153832,1169225.6785038176,1124286.768176458,1157982.1721259013,852651.8264486295
2022-08-18,1216022.2523811208,1228025.8538955564,1176283.9903594954,1170307.570203805,1124906.1043907215,1161297.5858736085,867600.935008016
2022-08-19,1205308.0090592513,1219552.3902410665,1166162.5754174765,1159581.4345592058,1115234.921256932,1150382.5014840655,860344.8512156996
2022-08-22,1180440.4443178354,1195432.6829231633,1143292.7362758014,1138440.838461841,1093956.0953695052,1127841.3724533995,856034.6355830608
2022-08-23,1172815.5597760552,1192213.0074681903,1135462.7041462758,1137069.821492978,1088860.1421991813,1124730.284550133,883805.1317730898
2022-08-24,1173029.6631223676,1193046.2113984413,1136649.6272596088,1138201.9770429577,1090833.436297548,1126030.3169771582,890352.5197904315
2022-08-25,1182087.8441601684,1202988.4813781576,1150654.8268531754,1151044.878224856,1101505.4832967918,1137987.735792121,898154.2272587215
2022-08-26,1144536.9304144501,1155363.2912349082,1113560.4832438186,1117947.6479363027,1068141.7819822791,1103310.6503239502,891552.545937941
2022-08-29,1135397.0999306727,1142768.0254688468,1105563.8961776586,1110544.7630834947,1062040.3121702669,1096155.1473409312,898208.8088451873
2022-08-30,1124610.7370448527,1132189.2722005234,1095358.1238936023,1096728.7997559458,1051845.6917101487,1085011.4378792224,876330.5294462253
2022-08-31,1115281.910452657,1126247.2246429212,1085672.8109567384,1085049.6965179057,1042566.9573273213,1075237.9488763874,862363.4089715121
2022-09-01,1119285.6313903488,1134705.2709759593,1091164.6985535487,1085583.0819804799,1047397.2498990607,1078799.8302340063,848614.5187483198
2022-09-02,1104773.7587291535,1118896.4669562199,1076603.2664210764,1074515.264728689,1036214.6899519162,1066853.0182321689,861217.7722217835
2022-09-06,1095698.8909710178,1100529.9205829066,1069035.0566269646,1068590.4096854613,1030486.15307944,1059624.47748505,857235.0461079398
2022-09-07,1112141.0309768186,1122353.7206328886,1084732.1690510313,1081631.6200136375,1044911.1164646759,1074424.867607504,846268.5675680547
2022-09-08,1117258.352556889,1124902.024198586,1090135.1151933144,1088503.4905718043,1051304.7418510502,1080407.626073881,850851.4028499955
2022-09-09,1134730.147910616,1139568.7697614494,1103504.5181697856,1103662.1772420732,1063784.6509047842,1095866.2588220744,872784.4560241082
2022-09-12,1142659.9589912517,1147985.9596505184,1111296.7563375907,1114315.7642510927,1071382.2467636066,1105067.352517073,886587.9278337662
