,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2023-09-28,0.03729783,0.050133158,0.0047101807,0.012434423,0.019497875,0.05037469,0.0044874647,0.008095635,0.023208374,0.017249297,0.028733425,0.042755067,0.015149583,0.028956028,0.028952895,0.018152993,0.017619966,0.023822442,0.03769424,0.013480053,0.020788323,0.25518575,0.011066707,0.120609716,0.01526462,0.049093124,0.012066589,0.01735618,0.01576335
2023-09-29,0.0374039,0.050199416,0.004719681,0.012433797,0.019484771,0.050563797,0.0044953167,0.008094382,0.023207039,0.017288392,0.028754001,0.04277526,0.01514363,0.028976537,0.028978381,0.018134762,0.017613076,0.023838371,0.03767059,0.0134801,0.020768302,0.25487593,0.011085063,0.12036413,0.015283206,0.049180035,0.012073171,0.017360875,0.015754072
2023-10-02,0.03746472,0.0502431,0.0047353893,0.012441714,0.019495396,0.050728027,0.004506342,0.0081046615,0.023228882,0.017326038,0.028781006,0.042807575,0.015150846,0.028988471,0.028993823,0.018127821,0.017623497,0.023873685,0.037690308,0.013492249,0.020762041,0.2543608,0.011106039,0.1202056,0.015302936,0.04922489,0.012086201,0.01738175,0.01576618
2023-10-03,0.037460063,0.050243698,0.0047371075,0.01244373,0.019500969,0.050700378,0.0045072027,0.008106752,0.02323796,0.01732498,0.028789261,0.042817585,0.015153682,0.02898966,0.028985832,0.018136812,0.017630516,0.023880411,0.03769848,0.013494999,0.02077106,0.2542876,0.0111054005,0.120225,0.015304377,0.04921311,0.012089,0.017388986,0.015775455
2023-10-04,0.037495375,0.050266843,0.004746094,0.012448694,0.019508177,0.050793298,0.0045133126,0.008112234,0.023249088,0.017345075,0.0288025,0.042832002,0.015157295,0.028995503,0.028995827,0.018131698,0.017636314,0.023902005,0.037715748,0.013501345,0.02077003,0.25399095,0.011116983,0.120138325,0.01531559,0.049239717,0.0120955305,0.017400997,0.015783442
2023-10-05,0.037474755,0.050266325,0.0047433176,0.012446309,0.019503415,0.050778504,0.0045119543,0.008110509,0.023242729,0.017342398,0.028796872,0.0428257,0.015157822,0.028998107,0.028998721,0.018129626,0.017631043,0.0238865,0.03770583,0.013499278,0.020765346,0.25411764,0.011113021,0.120133385,0.015313767,0.049246226,0.012094413,0.017392712,0.015773775
2023-10-06,0.03759192,0.050391678,0.004745984,0.0124340495,0.019469501,0.050916485,0.0045166523,0.008096048,0.023225091,0.017380167,0.028827714,0.042850975,0.01514109,0.029036146,0.029025162,0.018117517,0.017607376,0.023864487,0.037638538,0.0134824775,0.020752367,0.25398794,0.011119786,0.11981332,0.0153361745,0.049406495,0.0120995445,0.01737805,0.015747258
2023-10-09,0.037564278,0.050399415,0.0047410117,0.012429106,0.019461015,0.050891154,0.004513984,0.008091681,0.023214126,0.01737452,0.028817706,0.04283976,0.015138919,0.029040845,0.029028129,0.018117297,0.017598532,0.023837883,0.03762029,0.013476711,0.020750698,0.25416383,0.011114688,0.11981915,0.01533296,0.04942591,0.012096788,0.017363885,0.015735779
2023-10-10,0.037512228,0.05031324,0.0047225105,0.012423987,0.01945407,0.05071594,0.0044997344,0.0080812415,0.023185987,0.017325304,0.028776554,0.042784974,0.015128418,0.029012099,0.029010953,0.018116515,0.017588347,0.023818336,0.03761895,0.0134655675,0.020754177,0.25475755,0.011093028,0.12005472,0.015304196,0.049332306,0.0120770885,0.017345615,0.015726404
2023-10-11,0.037536584,0.050328683,0.004730978,0.012427347,0.019456962,0.05083877,0.004506378,0.0080883,0.023193821,0.01734894,0.02878191,0.042798486,0.015134418,0.029018702,0.029027378,0.018105565,0.017591301,0.023831192,0.037621155,0.013473796,0.02073873,0.25452977,0.011106819,0.11994984,0.015313701,0.049359545,0.012083373,0.017352687,0.015724856
2023-10-12,0.037596818,0.050408024,0.004742714,0.012427783,0.019454835,0.05097733,0.004515793,0.008091159,0.023206253,0.017386528,0.028812777,0.04283357,0.015136526,0.029042443,0.029043384,0.018102653,0.01759194,0.02383982,0.037609853,0.013477027,0.020734817,0.2541296,0.011122327,0.11974834,0.01533555,0.04944975,0.012095721,0.017360792,0.01572594
2023-10-13,0.037654143,0.05043124,0.004736666,0.012427698,0.019449452,0.050787494,0.0045106146,0.00808112,0.023212329,0.017367464,0.028853083,0.04285724,0.015118857,0.029050311,0.029007602,0.018140249,0.017600114,0.023860537,0.03761504,0.013464146,0.020777162,0.25411028,0.011105429,0.11980137,0.015335233,0.049421173,0.012098388,0.01737652,0.015749153
2023-10-16,0.037587702,0.050376944,0.004727852,0.012426572,0.0194528,0.05069116,0.0045036124,0.00807982,0.023202518,0.017339865,0.028825264,0.04282713,0.015120162,0.029032467,0.0289988,0.018141426,0.01759774,0.02384453,0.037623465,0.013462378,0.020780222,0.2544153,0.011094265,0.11996641,0.015318405,0.049361385,0.012089445,0.017365972,0.015746385
2023-10-17,0.03807639,0.050722715,0.004907813,0.012641067,0.019443592,0.051805157,0.0046931757,0.00823284,0.023754347,0.017836949,0.029148648,0.043305606,0.015297773,0.029409051,0.029443458,0.018298525,0.017808482,0.024283882,0.038013,0.013516534,0.020848976,0.24905996,0.011170436,0.117009304,0.015613914,0.049665004,0.012336389,0.017682914,0.015974108
2023-10-18,0.03747104,0.050251573,0.0047266874,0.012439116,0.019486856,0.050540954,0.00450058,0.008096426,0.023225801,0.017302874,0.028800862,0.042822503,0.015138619,0.029000193,0.028969733,0.018160049,0.017627168,0.023870742,0.037688337,0.013479621,0.020796286,0.2545043,0.011085483,0.12026811,0.015298126,0.049196705,0.012088388,0.017386265,0.015776586
2023-10-19,0.03741794,0.05022682,0.0047399546,0.012451501,0.019517252,0.05057314,0.004508979,0.008115408,0.023263544,0.01731391,0.028808953,0.042850714,0.01516194,0.0289979,0.028962027,0.01817129,0.017654622,0.02389719,0.037732452,0.013501934,0.020803096,0.25414777,0.011097251,0.120306514,0.015305515,0.04915791,0.012099856,0.01741113,0.015803521
2023-10-20,0.037531164,0.05038076,0.004758887,0.012451815,0.019508766,0.0507699,0.0045243627,0.008117838,0.023286086,0.017377479,0.02887266,0.042917218,0.015162559,0.029047295,0.028985104,0.018177979,0.0176573,0.023912136,0.037706453,0.013505107,0.020806694,0.2534549,0.011120535,0.11995213,0.015343749,0.049311846,0.01212315,0.017427905,0.015808318
2023-10-23,0.037644655,0.05038777,0.0047640847,0.012454505,0.01950273,0.050862707,0.0045273304,0.008114148,0.023284506,0.017394567,0.028885528,0.04291446,0.015154729,0.029048197,0.028990032,0.018164974,0.017658131,0.023946958,0.037697896,0.013508624,0.020795314,0.25329483,0.011132917,0.11982777,0.015351413,0.04932001,0.012120225,0.017440371,0.015810687
2023-10-24,0.03746402,0.05022612,0.0047377385,0.012451198,0.019512124,0.050532214,0.004507032,0.008110326,0.023260148,0.017309265,0.028819058,0.04284861,0.015154302,0.028998768,0.028953679,0.01817723,0.0176556,0.0239105,0.037727218,0.013499414,0.020810287,0.25416684,0.011094915,0.12030534,0.015304198,0.04914052,0.012097834,0.017417395,0.015808156
2023-10-25,0.037590593,0.050296854,0.0047495496,0.012456159,0.019508854,0.050612,0.0045154085,0.008109936,0.023275724,0.017342113,0.02886753,0.042883426,0.0151486555,0.029026859,0.028956886,0.018188596,0.017666675,0.023953326,0.037726026,0.01350466,0.020823717,0.25368795,0.011110025,0.12010655,0.015326159,0.04918501,0.012110325,0.017444735,0.015825702
2023-10-26,0.037467573,0.0501684,0.0047236113,0.012447558,0.019504152,0.05037767,0.004496219,0.008099661,0.023237789,0.017272916,0.028802874,0.04281156,0.015140777,0.028980302,0.028936308,0.01818123,0.0176491,0.02390997,0.037726566,0.013489667,0.020819057,0.25456947,0.011077922,0.12045952,0.015284578,0.049064625,0.0120843565,0.01741112,0.015805375
2023-10-27,0.037350092,0.05008671,0.0047283666,0.012455698,0.019535892,0.050449666,0.004497368,0.008114928,0.023248635,0.017265603,0.028757535,0.042774737,0.0151632745,0.028941376,0.028943177,0.018155204,0.017654618,0.023908786,0.037777245,0.0135067515,0.020798415,0.2545958,0.011087786,0.12061946,0.0152754765,0.049017802,0.012076642,0.017404819,0.01580819
2023-10-30,0.03728077,0.050040867,0.0047180774,0.012450427,0.01953285,0.050364397,0.0044904263,0.008112198,0.023234582,0.017239422,0.028730294,0.042754453,0.015162106,0.02892477,0.028936986,0.018152807,0.017646397,0.023882579,0.037770186,0.013499796,0.020792438,0.25495982,0.011074885,0.12075559,0.015259532,0.048981972,0.012067856,0.017387504,0.015795993
2023-10-31,0.037215807,0.049949143,0.004701022,0.01244595,0.019528953,0.050186776,0.004477719,0.008103776,0.023209704,0.017192578,0.028692976,0.04270496,0.015155354,0.028895274,0.028918719,0.01815048,0.017637232,0.023861269,0.037769776,0.013490947,0.02079107,0.25556523,0.01105298,0.12097123,0.015233929,0.04889447,0.012049642,0.017368989,0.015784083
2023-11-01,0.03749886,0.050344475,0.0049098884,0.0126811005,0.019575648,0.0513913,0.0046870545,0.00829949,0.023833025,0.017729735,0.029043285,0.043240335,0.015381702,0.029302042,0.029389491,0.01834009,0.017897649,0.024311135,0.038270503,0.013579909,0.020903533,0.24932176,0.011152523,0.11803206,0.01555255,0.049219888,0.012335038,0.017717566,0.016058346
2023-11-02,0.03748437,0.050289087,0.00489315,0.012673424,0.019558616,0.051283333,0.00467527,0.008286666,0.023798855,0.01769655,0.029012086,0.043195985,0.01536715,0.029283967,0.029385254,0.01832968,0.01788008,0.024288522,0.038248822,0.013565284,0.020893125,0.24987668,0.011135189,0.11813831,0.015532298,0.049180727,0.012317364,0.017693968,0.016036235
2023-11-03,0.037477314,0.050230518,0.0048750676,0.012664729,0.0195364,0.051177744,0.0046629384,0.008272116,0.023759857,0.0176638,0.028976703,0.043147862,0.015350161,0.029265048,0.029385692,0.018316193,0.0178599,0.024263265,0.0382179,0.013548297,0.020879373,0.25049335,0.011116783,0.11822945,0.015510644,0.04914408,0.012297596,0.017666992,0.016010243
2023-11-06,0.037484378,0.05027902,0.0048853266,0.012667039,0.019541753,0.05128895,0.0046708006,0.0082787005,0.023773208,0.01769003,0.028991291,0.043170646,0.015358435,0.029282073,0.029400906,0.018313587,0.017862855,0.024266977,0.03822617,0.013554954,0.020878075,0.25017166,0.01112929,0.118113294,0.015526265,0.049199045,0.012308427,0.017674046,0.016012734
2023-11-07,0.037495714,0.05032788,0.0048968666,0.012670854,0.019550916,0.05139765,0.0046792007,0.0082864985,0.023790887,0.017716208,0.029010389,0.043197885,0.0153667005,0.029297581,0.029412003,0.018313713,0.017869119,0.024277935,0.03824231,0.013562731,0.020880947,0.24978414,0.011142933,0.11801057,0.015542954,0.049248137,0.012320694,0.017685523,0.016021127
2023-11-08,0.037531767,0.05038273,0.004902962,0.012668042,0.01954396,0.051497098,0.0046848794,0.008287286,0.023795422,0.017740408,0.029023316,0.04322089,0.015368598,0.029316388,0.029424934,0.018311746,0.017866211,0.024273261,0.03821921,0.013563997,0.020873642,0.24957743,0.011152626,0.11787865,0.015554358,0.049308386,0.012327843,0.017687418,0.016016489
2023-11-09,0.037518613,0.050346963,0.0048962217,0.012666384,0.019542329,0.051409066,0.004679523,0.008283786,0.023790441,0.017721172,0.029013343,0.04320784,0.015365586,0.029303208,0.029410856,0.018316915,0.017866742,0.024269933,0.038210623,0.013561106,0.020875698,0.2497947,0.011143934,0.117977105,0.015542148,0.04926367,0.012320426,0.017683964,0.016017592
2023-11-10,0.037453234,0.05030521,0.0048951437,0.012671591,0.01956233,0.05132559,0.0046768202,0.0082888305,0.023797564,0.01769972,0.029007126,0.043197464,0.01537059,0.029286625,0.029397191,0.018322613,0.01787544,0.024279807,0.03826187,0.013563682,0.02089315,0.24981238,0.011137654,0.11812703,0.015537063,0.049214765,0.0123195825,0.017688382,0.016031612
2023-11-13,0.037516974,0.050333977,0.004890198,0.012664511,0.019544004,0.051341657,0.004673995,0.008278378,0.023778433,0.01769974,0.02901074,0.04319451,0.015355952,0.029295178,0.029401492,0.01831717,0.017861962,0.0242761,0.038235318,0.013552375,0.020888953,0.24988659,0.011135622,0.11806593,0.01553708,0.049245242,0.012316346,0.01768191,0.016019648
2023-11-14,0.03739957,0.0502651,0.0048874426,0.01267072,0.019566571,0.051236562,0.004670457,0.008285983,0.023783965,0.017673124,0.028988149,0.043170452,0.015367106,0.029273909,0.029392673,0.018320384,0.017870823,0.024271727,0.03828877,0.013557318,0.020902008,0.25005105,0.011126327,0.118248634,0.015527873,0.049184002,0.012312569,0.017678484,0.01602822
2023-11-15,0.03735553,0.050250325,0.004890731,0.012676823,0.0195822,0.051211365,0.004671622,0.008291721,0.023794793,0.017669909,0.028987402,0.043165162,0.015374878,0.029268542,0.029389491,0.018324412,0.017879607,0.024278194,0.03832313,0.013563435,0.020914426,0.24997273,0.011126577,0.11830301,0.015530043,0.049165465,0.012314994,0.017683508,0.016039915
2023-11-16,0.037554633,0.05037994,0.0048929867,0.012660767,0.019525638,0.051431444,0.0046783877,0.008275717,0.023775194,0.017726962,0.02901174,0.043201063,0.015357532,0.02931703,0.029419608,0.01831392,0.017855776,0.02425431,0.038179398,0.013554199,0.020871582,0.2498737,0.0111436425,0.11790114,0.0155439535,0.04930144,0.012318585,0.017674599,0.016005147
2023-11-17,0.03754127,0.050393198,0.00489536,0.012661272,0.019528627,0.051443733,0.004680204,0.0082777785,0.023780167,0.017731884,0.029014718,0.04320713,0.015361854,0.029322218,0.029421443,0.01831617,0.01785732,0.024250029,0.038181603,0.013556375,0.020873878,0.24980879,0.011145192,0.11788363,0.015547628,0.049315296,0.012321767,0.017675146,0.01600635
2023-11-20,0.03756652,0.050463337,0.004908389,0.012662605,0.01952887,0.051611055,0.0046910658,0.008284455,0.023793122,0.017772134,0.029032646,0.043236565,0.015370904,0.029347314,0.029447205,0.018308517,0.017857093,0.024248375,0.038174544,0.013563624,0.020864611,0.24943016,0.0111623285,0.11768417,0.01556903,0.049403436,0.012334892,0.017680155,0.016002858
2023-11-21,0.037748713,0.0505864,0.0049108597,0.012652036,0.01949096,0.051786426,0.0046954085,0.008266461,0.023771714,0.017814305,0.02906437,0.043257523,0.015347337,0.02938182,0.029469796,0.01829107,0.017830614,0.024239736,0.038097218,0.013547388,0.020844776,0.24925946,0.011173272,0.117343485,0.015591119,0.04955157,0.012337479,0.017670583,0.015978154
2023-11-22,0.037786882,0.050630927,0.0049177804,0.012651579,0.019486459,0.05189536,0.004701652,0.0082681,0.023775011,0.01784003,0.029076302,0.04327348,0.015348829,0.02939752,0.029485928,0.018284181,0.017827854,0.024239717,0.038084194,0.013549968,0.020835835,0.24905123,0.011184291,0.11720242,0.01560414,0.04961002,0.012344012,0.017672878,0.015973398
2023-11-24,0.03783304,0.050656967,0.00491798,0.012648861,0.019477732,0.051935136,0.004702276,0.008263367,0.023768632,0.017848535,0.029084016,0.043276537,0.015342267,0.029403826,0.029490525,0.018278657,0.017820911,0.024239933,0.03806872,0.013545696,0.020830693,0.24901801,0.011186776,0.117127046,0.015609163,0.04964286,0.012343887,0.017670756,0.01596716
2023-11-27,0.037686728,0.050585046,0.0049212994,0.012658795,0.019510407,0.051851187,0.0047029858,0.0082814135,0.023792705,0.017829096,0.02906559,0.04327195,0.015366289,0.029386394,0.029481012,0.018292045,0.017843729,0.02424606,0.03813268,0.013562594,0.020845842,0.24899729,0.011183937,0.117336385,0.015599434,0.04955242,0.012347896,0.017681258,0.01598752
2023-11-28,0.037551504,0.050525397,0.0049276655,0.012669223,0.01954562,0.051821418,0.00470572,0.008300017,0.023816748,0.017817501,0.029052878,0.04327084,0.015389505,0.029367996,0.02947882,0.018295156,0.017862067,0.02425718,0.038208004,0.013578399,0.020855766,0.24888429,0.011185056,0.1174961,0.015597061,0.049492206,0.012353341,0.017690526,0.016003918
2023-11-29,0.037576176,0.05051965,0.0049247104,0.012667796,0.019536683,0.051812153,0.0047041653,0.008296248,0.023809915,0.017816849,0.029049005,0.043264195,0.015384563,0.029368276,0.029478911,0.018294388,0.017859455,0.024253877,0.038187567,0.013575955,0.020850692,0.24898773,0.011183458,0.11748047,0.015593183,0.049486734,0.012349736,0.017687786,0.015999695
2023-11-30,0.037831455,0.050699115,0.0049327733,0.012654544,0.01949107,0.052096367,0.004713549,0.008276115,0.023785826,0.017881684,0.029102627,0.043308266,0.015353703,0.029418824,0.02951409,0.018268598,0.017825976,0.024255624,0.03810286,0.013556038,0.020825112,0.24857017,0.011203511,0.11698781,0.015630735,0.049701944,0.012359445,0.017682422,0.015969725
2023-12-01,0.037931085,0.050784368,0.0049400814,0.012649899,0.019474749,0.052260846,0.004721018,0.00827165,0.02378104,0.017919276,0.029127223,0.043335818,0.0153445555,0.029443918,0.029535927,0.018256003,0.01781345,0.024254799,0.03806839,0.013550597,0.020810751,0.24829346,0.011217316,0.11674237,0.015652005,0.04981376,0.01236746,0.017680977,0.015957262
2023-12-04,0.03780128,0.050696205,0.004933137,0.012655831,0.019496702,0.05206819,0.004713485,0.0082783885,0.02379112,0.017877845,0.029101714,0.043309003,0.015358171,0.029419051,0.029509587,0.01827486,0.017829916,0.024251925,0.038111407,0.013558337,0.020831842,0.24856463,0.0112018,0.11702376,0.015630078,0.04969309,0.012360984,0.017683195,0.015974404
2023-12-05,0.03771721,0.05071429,0.0049433676,0.0126602715,0.019514425,0.05211101,0.0047216187,0.008292523,0.023815218,0.01789513,0.02910019,0.0433222,0.015382534,0.029431738,0.02951904,0.018285194,0.017844,0.0242378,0.03812464,0.013575527,0.020837886,0.24833085,0.011212603,0.1170171,0.01563787,0.049709443,0.01237206,0.017689388,0.015984861
