,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-08-14,0.015531402,0.057082873,0.3971907,0.014887086,0.00023765893,0.00030473276,0.0020822212,0.003030404,0.0068897884,0.0027878191,0.0024508333,0.0013476255,0.06889153,0.034263004,0.0013220619,0.0003123899,0.023245882,0.15203881,0.0067632515,0.09703644,0.00010983071,0.0103382515,0.00087111944,0.0016153227,0.08294691,0.00090034597,0.0056272084,0.0008374198,0.009057117
2019-08-15,0.018576037,0.05541535,0.48885295,0.023098681,0.0002392804,0.00027858847,0.0032715157,0.003070892,0.0059389854,0.004537229,0.0015545812,0.0017343138,0.065709695,0.027689053,0.001950399,0.00034341196,0.020177081,0.12232045,0.007104324,0.06823141,0.00013757854,0.011891606,0.0015964499,0.0014728366,0.047064476,0.00079885626,0.007277152,0.0012257098,0.0084411455
2019-08-16,0.020502409,0.057874996,0.4505628,0.022609092,0.00033189557,0.00040467762,0.0036270677,0.0036617084,0.007045215,0.005067961,0.0020752163,0.0021559703,0.068538465,0.031204825,0.0022983302,0.00045159497,0.022498328,0.12766445,0.008217947,0.07355164,0.0001914478,0.013402534,0.001889705,0.0018459897,0.051849447,0.0010410054,0.008319742,0.0015056591,0.009609944
2019-08-19,0.022645993,0.058537528,0.44906577,0.024369013,0.00040395878,0.0004993268,0.0042409417,0.0040126913,0.007370896,0.0060677784,0.002180347,0.0026280123,0.0693165,0.031535517,0.002770281,0.0005342207,0.02314231,0.122792564,0.009034825,0.06980235,0.00024481767,0.01485252,0.0024517796,0.0020217316,0.04662732,0.0011731461,0.0096926475,0.0018690787,0.010116233
2019-08-20,0.020588424,0.04706647,0.5907011,0.027233472,0.0001750964,0.00019302919,0.003944632,0.002404555,0.003999333,0.0056190905,0.0008394385,0.0017665955,0.056278896,0.01994591,0.0022315509,0.0002730809,0.015068613,0.09667311,0.0063157976,0.04300655,0.00012098548,0.011824449,0.002140204,0.0010356548,0.024388112,0.00055888994,0.007467097,0.0014042107,0.006735677
2019-08-21,0.022742521,0.052950308,0.52365875,0.026612293,0.00027354775,0.00031410743,0.0043380302,0.0031722288,0.005433681,0.006122616,0.0013525243,0.0022369653,0.06249483,0.025016258,0.0026407132,0.00039755093,0.018694771,0.1096431,0.0077862013,0.05362748,0.00018168708,0.013820112,0.0024032025,0.0014762415,0.03299612,0.0008358,0.008646254,0.0017212799,0.008410838
2019-08-22,0.024366233,0.056816097,0.47835377,0.026708867,0.00037677103,0.0004369899,0.004444586,0.0036469128,0.006404793,0.007025319,0.0016613434,0.00277085,0.06889619,0.029924879,0.0029544008,0.000495602,0.021785703,0.11412539,0.009062033,0.05864983,0.00024206938,0.01554376,0.002796086,0.0018206119,0.038085405,0.0010718913,0.010004312,0.0019586794,0.009570472
2019-08-23,0.019144338,0.03513005,0.6747876,0.036202136,0.00011382159,0.00011435822,0.0034958408,0.0017316347,0.0024114067,0.0062258947,0.0004051076,0.0014525263,0.048513446,0.01582839,0.002126736,0.00016899501,0.0119061945,0.06979654,0.004810186,0.025905035,8.922958e-05,0.009850802,0.0024396444,0.00071979465,0.013660326,0.0003344219,0.006578637,0.0011477073,0.0049092006
2019-08-26,0.020880628,0.04233159,0.61183846,0.035418395,0.00017936001,0.00018903513,0.004120725,0.0024246955,0.0036134566,0.0067149135,0.0006923391,0.0019028779,0.055558305,0.020573437,0.0024922828,0.00026034386,0.014675025,0.08317015,0.006142911,0.034941822,0.00013126238,0.011810679,0.0027437753,0.0010503355,0.020080764,0.0005117713,0.007674129,0.001425928,0.0064506023
2019-08-27,0.021080047,0.04335394,0.60726315,0.03198235,0.00017178118,0.0001907256,0.0037950778,0.0023547783,0.003712357,0.0063970676,0.000671061,0.0019021836,0.057876237,0.021114262,0.0023321148,0.00024902105,0.014349907,0.085740544,0.0061439057,0.036901582,0.00012000028,0.012023913,0.002556165,0.0010032406,0.020976417,0.0005118129,0.007556027,0.00137332,0.0062969653
