Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2021-06-22,1162611.5059981355,1147278.9750526804,1118285.8368012696,1123137.2739590835,1130460.5827999613
2021-06-23,1157957.6269185706,1143060.9222480608,1114781.9892476774,1120776.894726802,1127096.68594806
2021-06-24,1170303.9688775106,1152684.5907871237,1123602.3535657192,1131449.9756763198,1136715.4467494306
2021-06-25,1176248.341492448,1157603.4025984684,1134203.5661849047,1139292.1007749974,1146395.0222859054
2021-06-28,1173521.659811364,1155334.426303882,1131526.1408260853,1134310.2698661913,1141769.0066996946
2021-06-29,1173388.207774245,1154745.8124625247,1131166.121710671,1134608.693764091,1141213.9364852053
2021-06-30,1184181.1259516361,1160515.289070376,1135780.1442475952,1141564.2065026166,1147484.9546900755
2021-07-01,1185220.7733841944,1165068.5426917137,1141590.9986715696,1145899.172271108,1153014.5720276702
2021-07-02,1184082.8818712556,1169284.7762499007,1149445.8765490975,1150955.4475996585,1158074.2585021888
2021-07-06,1174180.6431747728,1163671.7794780165,1142676.5633621959,1144041.0343845333,1150456.4434154686
2021-07-07,1181498.955512754,1168575.9290556062,1146697.9376707838,1147495.8499820868,1154399.1363504517
2021-07-08,1166857.1813833572,1160879.9875116327,1140111.1993405707,1138898.0364767318,1146857.0948746183
2021-07-09,1190030.464945178,1173392.607655508,1152279.6224350221,1153728.3729913577,1161369.5025996012
2021-07-12,1196547.1753889672,1176021.0716316847,1153984.5672744964,1157897.9067159723,1164621.5193400178
2021-07-13,1193349.4282083295,1173454.463562878,1150289.8504130621,1154344.736598583,1161822.171860016
2021-07-14,1204446.3830908414,1177462.6425382434,1151170.4082546055,1155815.1431323213,1164518.7078902447
2021-07-15,1207097.87249568,1179974.9247882064,1150642.1044429827,1157594.8300418388,1165137.9929145018
2021-07-16,1197064.6991528564,1170700.8906855206,1140130.4881673832,1147696.4363352873,1154811.5330044376
2021-07-19,1174322.4537293047,1148682.8871077425,1118022.4253527727,1123681.9072660338,1131990.2078923855
2021-07-20,1187980.5387718393,1163919.0112092784,1133455.876536835,1141877.7519232768,1147780.47621561
2021-07-21,1199358.1310971533,1173541.8468777083,1145269.4411151086,1151340.8525643775,1157869.629882942
2021-07-22,1188920.7869486632,1172041.106349186,1148694.807593172,1152179.6447243462,1158284.760031702
2021-07-23,1195419.3967987853,1178430.379278624,1152213.6140176966,1160060.801445876,1164127.539008364
2021-07-26,1200666.239075084,1181718.9869280385,1157641.9564485368,1162798.9602596043,1169281.3551488952
2021-07-27,1200355.622942499,1178066.7073405848,1154179.1773932243,1159960.5082692758,1166939.2450659578
2021-07-28,1189079.6131705805,1173094.8334215037,1152989.0819207837,1155739.018543381,1162665.6273718774
2021-07-29,1196682.955408379,1176827.6682554553,1158857.0787919066,1160821.1426287876,1167906.5767664583
2021-07-30,1194517.0361164613,1173401.4981874262,1154901.6470766207,1155889.1998207131,1163746.020432106
2021-08-02,1195408.5549787132,1169730.243151217,1151284.6601357933,1152669.6079105467,1159960.4279935719
2021-08-03,1206104.3125378622,1180106.903941085,1161074.399193726,1161875.5134209332,1169155.5907049284
2021-08-04,1192716.5742862595,1167333.3298228409,1151809.1510749517,1151164.5640426215,1157794.8286390037
2021-08-05,1201882.2281126222,1174149.4493601487,1158260.8485175325,1160150.1089008127,1166774.141305498
2021-08-06,1216627.4692350104,1178655.632143759,1160666.9295514,1164923.2110980086,1170672.9126717648
2021-08-09,1217501.4501442206,1176152.5621545424,1157753.5245260536,1161394.209568279,1167761.7150008501
2021-08-10,1227980.411189251,1179549.1094260174,1163134.8514607674,1166781.3489845833,1173187.2375455066
2021-08-11,1238863.3612386165,1184504.775201395,1170135.7095069268,1174070.181442764,1180185.4659291548
2021-08-12,1240786.442702976,1184850.5422383083,1172484.747878035,1174562.6002608656,1181691.5872602859
2021-08-13,1238494.5208738998,1184313.8877859332,1173965.1487715219,1175076.3443033735,1182494.8960946032
2021-08-16,1243542.7280692905,1189705.380187294,1177019.5132518914,1178716.4954875826,1185817.7453664734
2021-08-17,1237876.8985383539,1180888.6909183362,1167978.7882484712,1169382.2508994073,1177572.7882305628
2021-08-18,1222855.3703046923,1165547.386248201,1155513.2003804664,1156723.7269358004,1164018.6518098912
2021-08-19,1220278.6713548542,1164902.7483309067,1153100.3648592709,1154521.1543641232,1161700.9861066495
2021-08-20,1224343.3398501375,1170006.0756066546,1159324.4740266856,1161997.2610657236,1168205.1366828068
2021-08-23,1227013.3599998397,1175995.7797866634,1168543.2557909503,1169131.7764454754,1176459.8292748951
2021-08-24,1230688.6486837803,1175477.1653450835,1169034.9971539676,1170142.592082319,1178056.8153004702
2021-08-25,1236858.5222176288,1175813.84088172,1169695.255969292,1171440.8458953984,1179821.1480555725
